waterbody_type,year,month,country,continent,primary_data_source,ch4_diff,ch4_ebu,num_months_sampled,num_sites_sampled,effective_obs_wtemp_k,surf_area_k,mean_depth,max_depth,hybas_id,pop_sum,rel_hum,sum_precip_mm,mean_temp_k,mean_sw_wm2,tot_sampling_events,waterbody_id,temp_for_model_K,geometry,T_OC
lake,1989,10,United States of America,North America,Addess et al 1996,16.04,128.32,7,9,NA,11.5,NA,NA,7090462320,NA,NA,NA,NA,NA,63,174,NA,"c(-6346825.37443146, 5261189.03438216)",3.69609
lake,1989,4,United States of America,North America,Addess et al 1996,32.08,80.2,7,9,NA,NA,NA,NA,7090462320,NA,NA,NA,NA,NA,63,174,NA,"c(-6346825.37443146, 5261189.03438216)",3.69609
lake,1989,5,United States of America,North America,Addess et al 1996,16.04,48.12,7,9,NA,NA,NA,NA,7090462320,NA,NA,NA,NA,NA,63,174,NA,"c(-6346825.37443146, 5261189.03438216)",3.69609
lake,1989,6,United States of America,North America,Addess et al 1996,48.12,96.24,7,9,NA,NA,NA,NA,7090462320,NA,NA,NA,NA,NA,63,174,NA,"c(-6346825.37443146, 5261189.03438216)",3.69609
lake,1989,7,United States of America,North America,Addess et al 1996,80.2,401,7,9,NA,NA,NA,NA,7090462320,NA,NA,NA,NA,NA,63,174,NA,"c(-6346825.37443146, 5261189.03438216)",3.69609
lake,1989,8,United States of America,North America,Addess et al 1996,160.4,80.2,7,9,NA,NA,NA,NA,7090462320,NA,NA,NA,NA,NA,63,174,NA,"c(-6346825.37443146, 5261189.03438216)",3.69609
lake,1989,9,United States of America,North America,Addess et al 1996,32.08,160.4,7,9,NA,NA,NA,NA,7090462320,NA,NA,NA,NA,NA,63,174,NA,"c(-6346825.37443146, 5261189.03438216)",3.69609
lake,2009,NA,China,Asia,Ai et al 2009,46.33338841,NA,12,1,NA,1.58,NA,NA,4121311500,NA,NA,NA,NA,NA,12,147,NA,"c(9880340.28375216, 4920015.78712071)",2.7216
reservoir,2009,NA,China,Asia,Ai et al 2009,58.47305381,NA,12,1,NA,0.1,NA,NA,4121311500,NA,NA,NA,NA,NA,12,148,NA,"c(9882930.43124072, 4921020.06178032)",1.5984
lake,2009,NA,China,Asia,Ai et al 2009,159.4245706,NA,12,1,NA,0.11,NA,NA,4121313960,NA,NA,NA,NA,NA,12,142,NA,"c(9890058.78936835, 4908852.20938197)",2.7216
lake,2009,NA,China,Asia,Ai et al 2009,39.90991828,NA,12,1,NA,0.11,NA,NA,4121313960,NA,NA,NA,NA,NA,12,146,NA,"c(9887155.86943503, 4914435.13751195)",0
reservoir,2009,NA,China,Asia,Ai et al 2009,50.12933553,NA,12,1,NA,0.38,NA,NA,4121313960,NA,NA,NA,NA,NA,12,143,NA,"c(9888947.8568078, 4911643.95802654)",0
lake,2009,NA,China,Asia,Ai et al 2009,293.0595008,NA,12,1,NA,0.1,NA,NA,4120467440,NA,NA,NA,NA,NA,12,140,NA,"c(9896970.66070574, 4906953.49544021)",0
lake,2009,NA,China,Asia,Ai et al 2009,47.93018109,NA,12,1,NA,0.16,NA,NA,4121313960,NA,NA,NA,NA,NA,12,145,NA,"c(9893082.82748865, 4914323.5012663)",0
lake,2009,NA,China,Asia,Ai et al 2009,31.874192,NA,12,1,NA,0.16,NA,NA,4120467440,NA,NA,NA,NA,NA,12,141,NA,"c(9901695.0958206, 4907176.88719471)",2.7495
reservoir,2009,NA,China,Asia,Ai et al 2009,79.84264084,NA,12,1,NA,0.37,NA,NA,4121313960,NA,NA,NA,NA,NA,12,144,NA,"c(9901149.74852955, 4913876.94717021)",2.7216
reservoir,2009,NA,China,Asia,Ai et al 2009,182.4181983,NA,12,1,NA,5.95,NA,NA,4090448850,NA,NA,NA,NA,NA,12,151,NA,"c(9888958.90824331, 4956790.65763927)",1.722
reservoir,2014,7,Brazil,South America,Almeida et al 2016,14.66666667,22.66666667,1,2,299.15,NA,NA,NA,6120382230,484.2928561,0.012256421,104.7237522,298.8206181,218.76786,2,50,298.8206181,"c(-3557451.55484162, -842810.200071801)",4.50765
lake,2014,NA,India,Asia,Attermeyer et al 2016,23.496,192.48,5,41,302.25,0.66,NA,NA,4121593170,NA,NA,NA,NA,NA,205,86,302.25,"c(7409862.89019938, 1593350.3997288)",4.02189
lake,1992,NA,Brazil,South America,Ballester et al 2001,1.5564,NA,12,1,294.85,8.4489405,NA,NA,6090750000,NA,NA,NA,NA,NA,12,15,294.85,"c(-4277447.61392011, -2830337.35028403)",7.46442
pond,1987,NA,United States of America,North America,Barber et al 1988,1.34256,NA,12,1,NA,1.56,NA,NA,4120929470,NA,NA,NA,NA,NA,12,113,NA,"c(-7485639.09407234, 3491792.98942301)",8.26023
pond,1987,NA,United States of America,North America,Barber et al 1988,2.30136,NA,12,1,NA,0.01254698,NA,NA,4120929470,NA,NA,NA,NA,NA,12,110,NA,"c(-7488151.17038837, 3477064.61853149)",NA
pond,1987,NA,United States of America,North America,Barber et al 1988,1.452,NA,12,1,NA,0.0166546,NA,NA,4120929470,NA,NA,NA,NA,NA,12,111,NA,"c(-7486036.66214922, 3482136.01860812)",NA
pond,1987,NA,United States of America,North America,Barber et al 1988,3.34248,NA,12,1,NA,0.07,NA,NA,4120929470,NA,NA,NA,NA,NA,12,112,NA,"c(-7485355.35227217, 3484792.05705609)",NA
pond,1987,NA,United States of America,North America,Barber et al 1988,0.0819726,NA,12,1,NA,0.005075,NA,NA,4120929470,NA,NA,NA,NA,NA,12,108,NA,"c(-7397966.80260622, 3183060.66030441)",7.0356
reservoir,2008,3,Brazil,South America,Barros et al 2011,46.3,NA,1,2,302.15,NA,NA,NA,6050667100,1277232.741,0.017009472,558664.397,298.6308114,199.6959203,2,45,298.6308114,"c(-5260663.56726876, -1899401.87902622)",5.72274
reservoir,2008,10,Brazil,South America,Barros et al 2011,39.86666667,NA,1,3,295.45,NA,NA,NA,6060708750,611610.5103,0.012437033,44652.30321,297.5369612,214.3441874,3,18,297.5369612,"c(-4394678.60786976, -2562044.70138696)",3.65631
lake,1985,7,Brazil,South America,Bartlett et al 1988,31.67142857,478.7333333,2,3,NA,NA,NA,NA,6120444660,NA,NA,NA,NA,NA,6,52,NA,"c(-5791848.37073526, -642029.615173211)",4.91436
lake,1985,8,Brazil,South America,Bartlett et al 1988,70.64705882,264.41,2,3,NA,NA,NA,NA,6120444660,NA,NA,NA,NA,NA,6,52,NA,"c(-5791848.37073526, -642029.615173211)",4.91436
lake,1988,7,United States of America,North America,Bartlett et al 1992,24.375,112,1,3,NA,NA,NA,NA,8120283150,NA,NA,NA,NA,NA,3,413,NA,"c(-11611507.7515318, 6963431.7902425)",5.24721
lake,2011,6,Canada,North America,Bartosiewicz et al 2015,22.456,NA,1,5,NA,0.33,NA,NA,7120995280,150.7730664,0.009442129,849.8916471,288.9317977,222.8804619,5,242,288.9317977,"c(-5843181.30716515, 5666222.05635773)",7.60704
lake,2011,7,Canada,North America,Bartosiewicz et al 2015,16.04,NA,1,5,NA,0.33,NA,NA,7120995280,150.9379542,0.01181688,1057.10874,292.4354648,236.9420394,5,242,292.4354648,"c(-5843181.30716515, 5666222.05635773)",7.60704
lake,2011,8,Canada,North America,Bartosiewicz et al 2015,19.248,NA,1,5,NA,0.33,NA,NA,7120995280,151.102842,0.010825816,1580.3844,290.5332253,187.2979855,5,242,290.5332253,"c(-5843181.30716515, 5666222.05635773)",7.60704
